Marks,Percentile,Rank
154,99.09898859642743,8644
155,99.12244678157921,8536
156,99.14590496673098,8427
157,99.16936315188276,8319
158,99.19282133703454,8210
159,99.21627952218631,8102
160,99.2397377073381,7994
161,99.272084675244,6700
162,99.28976575464375,6538
163,99.30744683404352,6377
164,99.32512791344327,6216
165,99.34280899284302,6054
166,99.36049007224278,5893
167,99.37817115164253,5732
168,99.39585223104228,5570
169,99.41353331044205,5409
170,99.4312143898418,5248
171,99.4569399985455,5020
172,99.46985707633344,4900
173,99.48277415412139,4780
174,99.49569123190933,4660
175,99.50860830969728,4540
176,99.52152538748521,4420
177,99.53444246527316,4300
178,99.5473595430611,4180
179,99.56027662084905,4060
180,99.573193698637,3940
181,99.5973996511304,3709
182,99.6075306925327,3618
183,99.61766173393501,3527
184,99.6277927753373,3436
185,99.6379238167396,3345
186,99.6480548581419,3254
187,99.65818589954421,3163
188,99.6683169409465,3072
189,99.6784479823488,2981
190,99.6885790237511,2890
191,99.7108311325455,2621
192,99.71879123650444,2552
193,99.72675134046341,2483
194,99.73471144442236,2415
195,99.74267154838132,2346
196,99.75063165234027,2278
197,99.75859175629924,2209
198,99.76655186025819,2141
199,99.77451196421715,2072
200,99.7824720681761,2004
201,99.7950635053476,1850
202,99.80063557811887,1805
203,99.80620765089013,1761
204,99.8117797236614,1716
205,99.81735179643266,1672
206,99.82292386920393,1627
207,99.82849594197519,1583
208,99.83406801474646,1538
209,99.83964008751772,1494
210,99.845212160289,1450
211,99.8516164257469,1370
212,99.85629600201368,1325
213,99.86097557828046,1281
214,99.86565515454723,1236
215,99.87033473081401,1192
216,99.87501430708079,1147
217,99.87969388334757,1103
218,99.88437345961434,1058
219,99.88905303588112,1014
220,99.8937326121479,970
221,99.9011137994553,920
222,99.9042013549303,891
223,99.90728891040528,862
224,99.91037646588026,833
225,99.91346402135525,804
226,99.91655157683024,775
227,99.91963913230524,746
228,99.92272668778021,717
229,99.9258142432552,688
230,99.9289017987302,660
231,99.9349804235716,590
232,99.93735639399571,570
233,99.93973236441983,550
234,99.94210833484394,530
235,99.94448430526805,510
236,99.94686027569216,490
237,99.94923624611627,470
238,99.95161221654038,450
239,99.9539881869645,430
240,99.9563641573886,411
241,99.9601632979145,357
242,99.96181562252417,343
243,99.96346794713384,329
244,99.9651202717435,315
245,99.96677259635317,301
246,99.96842492096283,288
247,99.9700772455725,274
248,99.97172957018216,260
249,99.97338189479183,246
250,99.9750342194015,233
250,99.9772051568448,211
251,99.97849565854723,199
252,99.97978616024967,187
254,99.9810766619521,175
255,99.98236716365453,163
256,99.98365766535697,152
258,99.9849481670594,140
259,99.98623866876183,128
260,99.98752917046427,116
262,99.9888196721667,105
263,99.9909906096101,80
263,99.99132831099017,77
264,99.99166601237025,75
265,99.99200371375034,73
266,99.99234141513041,71
266,99.99267911651049,68
267,99.99301681789056,66
268,99.99335451927065,64
269,99.99369222065073,62
270,99.9940299220308,60
271,99.9946812032638,48
272,99.99498272235316,45
273,99.9952842414425,42
274,99.99558576053187,40
275,99.99588727962121,37
276,99.99618879871058,35
277,99.99649031779992,32
278,99.99679183688929,30
279,99.99709335597863,27
280,99.997394875068,25
300,99.99989145,1
